paper_id,Title,Year,DOI,source,in_scopus,in_wos,Cited by,Document Type,Source title
P001,Boundary-Focused Large Language Model Adaptation for Style Change Detection in Multi-Authored Text,2026,10.3390/app16041981,Scopus,True,True,1,Article,Applied Sciences (Switzerland)
P002,Educational integrity in the age of generative AI: an interpretable random forest-based detection framework,2026,10.1007/s00521-026-12082-3,Scopus,True,False,0,Article,Neural Computing and Applications
P003,Unveiling large language models generated texts: A multi-level fine-grained detection framework,2026,10.1016/j.dss.2026.114655,Scopus,True,False,0,Article,Decision Support Systems
P004,AI Generated Text vs Human Written Text: An Efficient Detection Tool Using Machine Learning,2026,10.1109/ICIPTM69057.2026.11466076,Scopus,True,False,0,Conference paper,"International Conference on Innovative Practices in Technology and Management, ICIPTM 2026"
P005,AI See What You Did There – The Prevalence of LLM-Generated Answers in MOOC Responses,2026,10.1145/3770762.3772602,Scopus,True,False,0,Conference paper,SIGCSE TS 2026 - Proceedings of the 57th ACM Technical Symposium on Computer Science Education V.1
P006,"Overview of PAN 2025: Voight-Kampff Generative AI Detection, Multilingual Text Detoxification, Multi-author Writing Style Analysis, and Generative Plagiarism Detection",2026,10.1007/978-3-032-04354-2_21,Scopus,True,True,1,Conference paper,Lecture Notes in Computer Science
P007,Using Machine Learning BERT Models for Plagiarism Detection: A Comprehensive Performance Analysis,2026,10.1109/IMPACT68503.2026.11468327,Scopus,True,False,0,Conference paper,"2026 6th International Conference on Multimedia, Signal Processing and Communication Technologies, IMPACT 2026"
P008,"Heads we win, tails you lose: AI detectors in education",2026,10.1080/1360080X.2026.2622146,Scopus,True,True,0,Article,Journal of Higher Education Policy and Management
P009,When AI writes the doctoral thesis: reclaiming the oral defence as a learning development intervention,2026,10.47408/jldhe.vi39.1809,Scopus,True,False,0,Article,Journal of Learning Development in Higher Education
P010,Toward more Sustainable Plagiarism Policies in an AI Higher Education Environment: a Student-Informed Case Study,2026,10.1007/s10805-025-09718-9,Scopus,True,True,0,Article,Journal of Academic Ethics
P011,A Systematic Review of Academic Integrity and Misconduct with Artificial Intelligence in Higher Education,2026,10.1007/s42979-025-04569-y,Scopus,True,False,0,Review,SN Computer Science
P012,AI-Driven Peer Company Identification: A Semantic Text-Similarity Approach Beyond Traditional Industry Classification Systems,2026,10.2478/bsrj-2026-0010,Scopus,True,True,0,Article,Business Systems Research
P013,How do college students weigh the reliability of AI in academic writing?,2026,10.1080/2331186X.2026.2670040,Scopus,True,True,0,Article,Cogent Education
P014,Collaborative Multi-Agent Method for Zero-Shot LLM-Generated Text Detection,2026,10.3390/informatics13040062,Scopus,True,False,0,Article,Informatics
P015,Detecting AI-Generated Content: A Multi-Layered Approach for Web and Document Analysis,2026,10.1109/ICAUC68182.2026.11441209,Scopus,True,False,0,Conference paper,"Proceedings of the 2026 International Conference on AI-Driven Smart Systems and Ubiquitous Computing, ICAUC 2026"
P016,A Multirepresentation Stacked Ensemble for AI-Generated Text Detection,2026,10.1155/int/3992539,Scopus,True,False,0,Article,International Journal of Intelligent Systems
P017,Educational integrity in GenAI-augmented assessment: making judgement visible,2026,10.1007/s40979-026-00216-y,Scopus,True,True,0,Article,International Journal for Educational Integrity
P018,Explainable address matching in online geocoding: filter-based feature selection and ensemble classification,2026,10.1007/s10707-025-00562-y,Scopus,True,True,1,Article,GeoInformatica
