paper_id,topic
P001,4
P002,6
P003,-1
P004,6
P005,5
P006,4
P007,8
P008,2
P009,2
P010,2
P011,2
P012,3
P013,2
P014,6
P015,6
P016,6
P017,2
P018,3
P019,2
P020,6
P021,4
P022,9
P023,6
P024,2
P025,-1
P026,6
P027,-1
P028,4
P029,0
P030,6
P031,2
P032,7
P033,4
P034,6
P035,2
P036,2
P037,3
P038,4
P039,-1
P040,-1
P041,6
P042,2
P044,10
P045,7
P046,0
P047,2
P048,6
P049,-1
P050,6
P051,6
P052,2
P053,-1
P054,1
P055,6
P056,7
P057,2
P058,6
P059,6
P060,2
P061,2
P062,6
P063,0
P064,6
P065,8
P066,6
P067,2
P068,4
P069,10
P070,2
P071,6
P072,6
P073,6
P074,4
P075,6
P076,2
P077,2
P078,4
P079,2
P080,5
P081,-1
P082,2
P083,3
P084,9
P085,6
P086,6
P087,2
P088,-1
P089,6
P090,3
P091,6
P092,2
P093,2
P094,3
P095,7
P096,6
P097,-1
P098,2
P099,-1
P100,2
P101,3
P102,2
P103,-1
P104,1
P105,8
P106,2
P107,2
P108,0
P109,-1
P110,2
P111,3
P112,4
P113,-1
P114,6
P115,6
P116,4
P117,6
P118,2
P119,6
P120,6
P121,3
P122,5
P123,2
P124,4
P125,6
P126,6
P127,2
P128,3
P129,6
P130,7
P131,2
P132,6
P133,5
P134,7
P135,6
P136,-1
P137,3
P138,4
P139,3
P140,1
P141,0
P142,-1
P143,6
P144,-1
P145,-1
P146,3
P147,2
P148,-1
P149,3
P150,2
P151,2
P152,3
P153,2
P154,-1
P155,2
P156,4
P157,-1
P158,2
P159,2
P160,-1
P161,6
P162,4
P163,6
P164,2
P165,-1
P166,6
P167,2
P168,9
P169,2
P170,5
P171,2
P172,2
P173,7
P174,2
P175,-1
P176,5
P177,1
P178,6
P179,3
P180,4
P181,6
P182,9
P183,3
P184,2
P185,8
P186,7
P187,3
P188,1
P189,6
P190,6
P191,5
P192,2
P193,4
P194,2
P195,7
P196,5
P197,6
P198,7
P199,2
P200,6
P201,6
P202,5
P203,5
P204,4
P205,6
P206,10
P207,7
P208,2
P209,2
P210,2
P211,9
P212,2
P213,0
P214,6
P215,8
P216,6
P217,6
P218,10
P219,-1
P220,-1
P221,2
P222,-1
P223,2
P224,2
P225,6
P226,-1
P227,4
P228,-1
P229,-1
P230,6
P231,2
P232,6
P233,6
P234,3
P235,5
P236,-1
P237,6
P238,3
P239,6
P240,6
P241,9
P242,-1
P243,1
P244,-1
P245,6
P246,1
P247,2
P248,2
P249,9
P250,2
P251,4
P252,3
P253,6
P254,2
P255,6
P256,6
P257,8
P258,7
P259,2
P260,6
P261,8
P262,6
P263,1
P264,2
P265,6
P266,8
P267,6
P268,9
P269,2
P270,-1
P271,6
P272,2
P273,6
P274,3
P275,6
P276,6
P277,2
P278,2
P279,2
P280,6
P281,2
P282,6
P283,2
P284,6
P285,6
P286,-1
P287,2
P288,-1
P289,6
P290,-1
P291,2
P292,10
P293,6
P294,10
P295,2
P296,2
P297,1
P298,9
P299,6
P300,6
P301,6
P302,2
P303,2
P304,2
P305,6
P306,4
P307,6
P308,2
P309,-1
P310,7
P311,6
P312,0
P313,9
P314,-1
P315,9
P316,8
P317,6
P318,3
P319,0
P320,6
P321,6
P322,5
P323,6
P324,1
P325,9
P326,-1
P327,6
P328,-1
P329,2
P330,9
P331,6
P332,9
P333,-1
P334,2
P335,3
P336,2
P337,6
P338,6
P339,3
P340,2
P341,6
P342,-1
P343,6
P344,-1
P345,-1
P346,6
P347,3
P348,6
P349,6
P350,6
P351,7
P352,2
P353,3
P354,8
P355,2
P357,-1
P358,2
P359,2
P360,6
P361,9
P362,-1
P363,6
P365,-1
P366,2
P367,2
P368,9
P369,3
P370,7
P371,3
P372,-1
P373,8
P374,-1
P375,6
P376,5
P377,4
P378,6
P379,6
P380,2
P381,4
P382,6
P383,6
P384,6
P385,2
P386,-1
P387,6
P388,1
P389,-1
P390,2
P391,6
P392,9
P393,9
P394,2
P395,3
P396,6
P397,-1
P398,6
P399,-1
P400,-1
P401,3
P402,3
P403,1
P404,9
P405,9
P406,1
P407,2
P408,-1
P409,0
P410,7
P411,4
P412,6
P413,3
P414,1
P415,7
P416,2
P417,6
P418,-1
P419,-1
P420,2
P421,2
P422,2
P423,2
P424,7
P425,6
P426,0
P427,4
P428,2
P429,2
P430,4
P431,7
P432,3
P433,5
P434,2
P435,-1
P436,2
P437,6
P438,4
P439,2
P440,2
P441,2
P442,2
P443,1
P444,2
P445,6
P446,9
P447,-1
P448,1
P449,1
P450,3
P451,6
P452,2
P454,2
P455,2
P456,6
P457,-1
P458,2
P459,2
P460,3
P461,6
P462,-1
P463,-1
P464,6
P465,1
P466,-1
P467,5
P468,3
P469,4
P470,9
P471,-1
P472,10
P473,0
P474,10
P475,2
P476,6
P477,3
P478,4
P479,2
P480,9
P481,6
P482,10
P483,4
P484,-1
P485,6
P486,3
P487,1
P488,6
P489,9
P490,9
P491,2
P492,4
P493,4
P494,2
P495,2
P496,4
P497,3
P498,2
P499,-1
P501,-1
P502,-1
P503,2
P504,10
P505,7
P506,3
P507,-1
P508,6
P509,-1
P510,3
P511,1
P512,1
P513,3
P514,2
P515,2
P516,3
P517,3
P518,10
P519,8
P520,9
P521,8
P522,2
P523,9
P524,-1
P525,-1
P526,10
P527,2
P528,6
P529,6
P530,3
P531,-1
P532,1
P533,5
P534,10
P535,1
P536,6
P537,-1
P538,9
P539,-1
P540,-1
P541,6
P542,3
P543,1
P544,3
P545,2
P546,-1
P547,1
P548,-1
P549,3
P550,5
P551,-1
P552,6
P554,3
P555,2
P556,2
P557,8
P558,2
P559,9
P560,6
P561,6
P562,9
P563,3
P564,2
P565,6
P566,8
P567,3
P568,3
P569,8
P570,9
P571,7
P572,-1
P573,2
P574,4
P575,8
P576,3
P577,0
P578,7
P579,9
P580,1
P581,-1
P582,2
P583,3
P584,2
P585,3
P586,6
P587,2
P588,5
P589,1
P590,7
P591,3
P592,3
P593,2
P594,-1
P595,2
P596,-1
P597,-1
P598,2
P599,4
P600,2
P601,-1
P602,4
P603,-1
P604,7
P605,-1
P606,8
P607,2
P608,2
P609,2
P610,4
P611,2
P612,2
P613,2
P614,4
P615,6
P616,2
P617,9
P618,3
P619,-1
P620,2
P621,-1
P622,4
P623,2
P624,8
P625,10
P626,2
P627,2
P628,6
P629,2
P630,7
P631,2
P632,2
P633,3
P634,1
P635,1
P636,6
P637,6
P638,4
P639,-1
P640,3
P641,3
P642,1
P643,9
P644,4
P645,2
P646,-1
P647,6
P648,2
P649,4
P650,-1
P651,3
P652,7
P653,-1
P654,5
P655,3
P656,-1
P657,-1
P658,2
P659,9
P660,8
P661,10
P662,9
P663,3
P664,-1
P665,6
P666,3
P667,8
P668,3
P669,7
P670,8
P671,7
P672,3
P673,4
P674,3
P675,0
P676,3
P677,2
P678,7
P679,10
P680,8
P681,3
P682,2
P683,-1
P684,-1
P685,-1
P686,0
P687,0
P688,9
P690,0
P691,9
P692,9
P693,-1
P694,3
P695,8
P696,3
P697,3
P698,6
P699,10
P700,3
P701,-1
P702,2
P703,-1
